Transaction_ID,System_Timestamp,Document_Date,GL_Account_Code,Entity_ID,Amount,Transaction_Type,Status,Description
5ee66286-c42c-487a-9fa0-fea13758ff56,2026-03-27 05:02:09,2026-03-27 05:02:09,7000,CUST_6582,9188.62,Bill,Posted,Bill - Services
910f0c82-f87d-4c01-9d09-d2ee00906d8a,2026-03-27 07:59:55,2026-03-27 07:59:55,1000,VEND_8086,4074.69,Invoice,Draft,Invoice - Maintenance
81f093fa-21c5-41ea-a1ef-e1aed709e4ab,2026-03-27 08:27:56,2026-03-27 08:27:56,2100,VEND_5673,9573.6,Vendor Credit,Posted,Wire Transfer
5329fa86-402d-43d7-97eb-6ce986e5ed0c,2026-03-27 12:20:03,2026-03-27 12:20:03,2100,VEND_4271,-3967.3,Bill,Posted,Bill - Maintenance
e1050f15-c551-4e70-8db8-ad5160902f1f,2026-03-27 14:16:55,2026-03-27 14:16:55,4000,CUST_9243,9470.68,Bill,Draft,Bill - Consulting
ad3b8789-2981-4baf-90fb-75bf0ca198b9,2026-03-27 15:31:01,2026-03-27 15:31:01,1200,VEND_8822,7561.55,Bill,Pending,Bill - Consulting
fb8a2e6b-5084-4255-a928-392a33339236,2026-03-27 19:21:31,2026-03-27 19:21:31,2000,VEND_6400,7231.6,Invoice,Pending,Invoice - Consulting
be7b48c7-9d84-4cff-b3de-15319b432381,2026-03-27 19:32:45,2026-03-27 19:32:45,2100,VEND_7132,4289.13,Payment,Draft,Payment Receipt
381a4519-4dca-450b-88c7-441171785594,2026-03-28 06:19:44,2026-03-28 06:19:44,7000,CUST_7265,-1336.5,Vendor Credit,Draft,Refund
f354402d-66b1-464a-8d4c-f268a3fec223,2026-03-28 07:50:59,2026-03-28 07:50:59,3000,VEND_2435,8879.17,Vendor Credit,Pending,CHECK #1234
79587f79-21eb-4f6c-b045-54f8e81d2daf,2026-03-28 08:14:40,2026-03-28 08:14:40,6000,CUST_6542,6885.53,Invoice,Pending,Invoice - Products
81d14cd0-7d84-4834-a77f-98902edbe0bf,2026-03-28 08:55:29,2026-03-28 08:55:29,5000,VEND_8532,4360.52,Bill,Draft,Bill - Maintenance
077173de-c8d3-4305-87f5-a34ded68eb53,2026-03-28 09:39:16,2026-03-28 09:39:16,2000,VEND_4695,7049.24,Bill,Draft,Bill - Products
c65d0fc3-6c2b-453b-9e58-3109c85aaf63,2026-03-28 15:53:01,2026-03-28 15:53:01,7000,VEND_5216,6346.71,Payment,Pending,Wire Transfer
e2881a28-b8d2-4b8f-a6fa-7ec984c447d1,2026-03-29 05:11:56,2026-03-29 05:11:56,3000,VEND_1646,4380.63,Bill,Draft,Bill - Maintenance
a829a6fc-dac3-419b-b74d-2d8733cf6434,2026-03-29 08:58:03,2026-03-29 08:58:03,7000,CUST_8576,-1500.71,Payment,Posted,cREDIT CARD PAYMENT
573afa48-8546-4cb5-a0bd-c8921fae637e,2026-03-29 10:38:02,2026-03-29 10:38:02,4000,CUST_5753,-1594.95,Invoice,Draft,Invoice - Services
3b1b034a-385f-4906-a320-9a055400ca21,2026-03-29 10:40:09,2026-03-29 10:40:09,1000,CUST_2995,1208.57,Payment,Pending,rEFUND
92a4d49d-cb3a-44ba-9302-3daa3454ae14,2026-03-29 11:22:09,2026-03-29 11:22:09,4000,VEND_4700,6847.33,Invoice,Pending,Invoice - Products
319f741e-cc4a-4395-9d01-dba28a905eb2,2026-03-29 14:19:54,2026-03-29 14:19:54,1000,CUST_5374,1617.74,Bill,Draft,Bill - Consulting
986a89d8-6022-4865-8d2c-847e9f2fb797,2026-03-29 16:52:40,2026-03-29 16:52:40,6000,CUST_2702,1561.19,Vendor Credit,Pending,WIRE TRANSFER
1f00c4a0-06c6-44a3-9334-74f5a3b38c1c,2026-03-29 17:00:40,2026-03-29 17:00:40,4000,CUST_5954,5807.42,Bill,Posted,Bill - Consulting
944912e7-c3b3-496c-a505-fb5a1690ab49,2026-03-29 18:09:44,2026-03-29 18:09:44,5000,CUST_8183,8314.51,Invoice,Pending,Invoice - Maintenance
91f6b540-16cd-4090-b692-517ad2cb3f90,2026-03-29 20:33:28,2026-03-29 20:33:28,3000,CUST_4613,975.07,Payment,Draft,wire transfer
2857aff5-a559-4507-bb8c-601dfbb3c61a,2026-03-29 22:43:32,2026-03-27 22:43:32,5000,VEND_1095,448.03,Vendor Credit,Pending,rEFUND
9b5a1494-c486-469c-83a1-34e2e8d323ee,2026-03-29 23:17:30,2026-03-29 23:17:30,2000,VEND_8849,7974.57,Payment,Pending,Wire transfer
daeee889-5a35-454d-b451-e638e0db756a,2026-03-30 05:30:08,2026-03-29 05:30:08,2000,CUST_4257,7016.24,Vendor Credit,Posted,cREDIT CARD PAYMENT
87938989-19cc-4943-a69e-cb1648c3d517,2026-03-30 06:30:54,2026-03-30 06:30:54,4000,CUST_4943,1017.96,Invoice,Pending,Invoice - Services
4d453982-69a7-49d7-b6df-f9b2e8ce4a68,2026-03-30 07:51:21,2026-03-30 07:51:21,6000,VEND_2948,442.38,Bill,Draft,Bill - Services
673ba59e-ee2b-40d1-9432-414d6654dc47,2026-03-30 16:27:42,2026-03-30 16:27:42,2000,CUST_7185,2105.53,Payment,Draft,ach transfer
8ae3a5d4-1b82-4dbf-970b-c34acceb695b,2026-03-30 17:35:24,2026-03-30 17:35:24,4000,CUST_9527,2846.44,Invoice,Draft,Invoice - Consulting
5ea2109e-1756-4af3-8861-15bd8b8d4f67,2026-03-30 18:31:31,2026-03-30 18:31:31,7000,CUST_6478,8173.25,Vendor Credit,Posted,PAYMENT RECEIPT
a549dce5-8410-43d1-b3ae-47ac6522fc29,2026-03-30 23:42:03,2026-03-30 23:42:03,2100,CUST_8222,8449.91,Bill,Pending,Bill - Services
2cca219c-072b-462d-a354-7eadca4ef95c,2026-03-31 01:14:50,2026-03-31 01:14:50,4000,CUST_3626,9484.27,Bill,Posted,Bill - Maintenance
2fced7dc-5445-46ce-be77-c307e5e92c0c,2026-03-31 02:52:15,2026-03-31 02:52:15,7000,VEND_6010,-3242.24,Invoice,Posted,Invoice - Consulting
edf57493-c29d-4853-b45c-c4c3faafd050,2026-03-31 05:55:24,2026-03-31 05:55:24,3000,VEND_5501,9844.1,Bill,Pending,Bill - Products
6170c306-111e-4397-ae7f-f07c45367222,2026-03-31 09:31:09,2026-03-31 09:31:09,1000,VEND_9444,8155.91,Vendor Credit,Pending,ONLINE PAYMENT
f5978e3a-8fff-4812-8f1a-73289cd6fbb2,2026-03-31 10:03:32,2026-03-31 10:03:32,1000,VEND_6963,1509.35,Invoice,Draft,Invoice - Maintenance
17b829e5-6975-412f-8d48-0f96875cb10e,2026-03-31 10:29:35,2026-03-27 10:29:35,6000,,4797.9,Invoice,Pending,Invoice - Maintenance
ad1d6060-7819-4e66-8742-725756e141a4,2026-03-31 12:42:44,2026-03-31 12:42:44,7000,VEND_4740,1681.37,Payment,Posted,Online Payment
bda6847e-7b11-429f-b071-68a46179410a,2026-03-31 13:16:24,2026-03-31 13:16:24,7000,CUST_5938,7675.82,Bill,Pending,Bill - Consulting
88e6bad8-9fb1-428b-91f2-36288075292b,2026-03-31 13:53:12,2026-03-30 13:53:12,2100,,2831.2,Vendor Credit,Draft,Wire Transfer
b827b708-55cd-4473-ba44-81549129aa5b,2026-03-31 15:47:49,2026-03-31 15:47:49,7000,VEND_8493,9562.34,Payment,Pending,oNLINE PAYMENT
c0d36619-08dc-4dda-8ccb-d6e9cbeb6098,2026-03-31 23:09:32,2026-03-31 23:09:32,5000,,1201.4,Vendor Credit,Posted,Ach Transfer
ee03ea81-8739-473b-a388-2c2934842e3f,2026-04-01 00:08:19,2026-03-30 00:08:19,1000,VEND_6123,1167.85,Invoice,Posted,Invoice - Products
3a7efeb1-8505-4590-aad6-df2e788e35e9,2026-04-01 01:21:43,2026-04-01 01:21:43,4000,VEND_5067,9024.09,Bill,Draft,Bill - Consulting
de4e57bd-61ff-41f0-bbcb-e7018c8fb5c1,2026-04-01 02:06:02,2026-04-01 02:06:02,1100,VEND_7810,7373.41,Bill,Posted,Bill - Maintenance
df9043b2-f2ab-4364-b4b9-63bebcc1a51f,2026-04-01 04:06:59,2026-04-01 04:06:59,2100,CUST_8032,7039.94,Invoice,Posted,Invoice - Maintenance
dbdecc09-9016-48be-bd0b-9ff2ad4873f4,2026-04-01 08:11:28,2026-04-01 08:11:28,4000,CUST_8582,8750.36,Vendor Credit,Posted,online payment
2dbd893a-3210-47d9-9f94-d6bb69213fba,2026-04-01 09:25:00,2026-04-01 09:25:00,1200,CUST_6614,5698.34,Vendor Credit,Posted,CHECK #1234
c22d9074-7c87-4870-b7b8-04fd3ae2616d,2026-04-01 11:06:38,2026-04-01 11:06:38,4000,CUST_1855,3820.74,Invoice,Draft,Invoice - Maintenance
6814e40a-f8f9-4efc-9676-ef3eacd4e439,2026-04-01 13:37:11,2026-04-01 13:37:11,1100,CUST_7184,6964.26,Vendor Credit,Pending,online payment
b1b812da-f92f-4997-98e5-22707871e6a9,2026-04-01 14:58:46,2026-04-01 14:58:46,2000,VEND_2391,664.35,Bill,Posted,Bill - Consulting
ec9e1116-6313-44bd-a594-432bd97b7361,2026-04-02 04:21:54,2026-04-02 04:21:54,1200,VEND_2279,5267.29,Vendor Credit,Pending,Ach transfer
d055488b-e5f0-4171-8de5-022743083dec,2026-04-02 04:52:13,2026-04-02 04:52:13,6000,CUST_6885,-3591.78,Invoice,Posted,Invoice - Maintenance
55e47ce1-ee4e-46ee-9cf7-1d9c11047fa7,2026-04-02 05:52:50,2026-04-02 05:52:50,1100,,250,Bill,Pending,Bill - Products
ba3d001c-f842-440d-8034-bf6994a45e67,2026-04-02 06:51:59,2026-04-02 06:51:59,2100,VEND_2260,9442.78,Vendor Credit,Draft,ACH TRANSFER
50d85afa-77d7-4252-bd1d-e258a594a04b,2026-04-02 07:26:01,2026-04-02 07:26:01,4000,CUST_9106,6465.34,Vendor Credit,Draft,credit card payment
0edda1c2-3aa9-46e4-b0fb-25b1423e4c7d,2026-04-02 09:40:22,2026-04-02 09:40:22,7000,VEND_2873,392.44,Payment,Pending,WIRE TRANSFER
43e4a1bc-bd9c-4a8f-b695-5ef872445f68,2026-04-02 10:07:42,2026-04-02 10:07:42,4000,VEND_8159,2243.27,Invoice,Pending,Invoice - Services
42749ab4-60af-4907-89ab-463f692f4b83,2026-04-02 16:48:20,2026-03-31 16:48:20,1000,VEND_9300,7129.16,Vendor Credit,Pending,Refund
19a3487e-b8ef-411b-871d-e00274c99346,2026-04-02 16:53:34,2026-03-27 16:53:34,1200,CUST_9182,4769.37,Payment,Draft,PAYMENT RECEIPT
33e84858-7e37-4c96-8ee3-1e674304ef99,2026-04-02 18:52:30,2026-04-02 18:52:30,2100,CUST_8110,7606.09,Invoice,Pending,Invoice - Products
46318958-af70-444f-9e64-a6d1b65fb322,2026-04-02 21:16:59,2026-04-02 21:16:59,4000,VEND_6196,4009.44,Bill,Pending,Bill - Services
abaa14ee-ef02-4d14-85f8-f291ab6a4590,2026-04-02 22:31:12,2026-04-02 22:31:12,1000,CUST_4345,-4133.36,Payment,Posted,ach transfer
00009050-5fea-40e1-8060-8040054d85c0,2026-04-03 06:47:05,2026-04-03 06:47:05,5000,VEND_2946,-4517.56,Bill,Pending,Bill - Consulting
fb62b4f5-40d6-414e-8161-d8d3756b151b,2026-04-03 09:53:31,2026-04-03 09:53:31,3000,VEND_1824,5509.45,Vendor Credit,Pending,PAYMENT RECEIPT
f589add0-db38-40e1-85f7-f76b466740fb,2026-04-03 10:46:27,2026-04-03 10:46:27,1200,VEND_3426,427.87,Bill,Posted,Bill - Consulting
be37fda1-362d-46a3-a726-a824142e903b,2026-04-03 14:43:14,2026-04-03 14:43:14,7000,VEND_9856,7558.54,Payment,Draft,refund
333d7974-9940-4135-aff4-da5e49fa4a02,2026-04-03 16:45:01,2026-04-03 16:45:01,3000,,5420.26,Invoice,Posted,Invoice - Services
633611e4-7232-42cd-a888-ea3284d4d398,2026-04-03 17:03:13,2026-04-03 17:03:13,2000,VEND_1152,-3285.56,Invoice,Pending,Invoice - Products
a69a2bbc-b1ad-45ba-82f2-2792281c15b5,2026-04-03 19:07:54,2026-04-03 19:07:54,7000,VEND_8324,9806.9,Invoice,Posted,Invoice - Maintenance
809d288e-5d8b-4d1f-88f3-e68da8395edc,2026-04-04 01:35:52,2026-04-04 01:35:52,1000,CUST_6493,1384.62,Bill,Pending,Bill - Products
f75878a1-b3b5-4cbb-aec8-5669c7714ddf,2026-04-04 03:30:50,2026-04-04 03:30:50,6000,VEND_2369,5117.93,Payment,Posted,Ach Transfer
86499392-b601-44bd-98cb-c1896ffab6f4,2026-04-04 07:03:18,2026-04-04 07:03:18,1200,CUST_1823,3280.25,Vendor Credit,Pending,Check #1234
6b3efb4c-9d64-4c8f-80e0-f9ecae590998,2026-04-04 11:09:21,2026-04-04 11:09:21,6000,CUST_1999,8185.87,Vendor Credit,Draft,Refund
75fd998d-60c4-4e94-9299-9bebdcce8551,2026-04-04 16:00:38,2026-04-04 16:00:38,3000,CUST_9882,3006.57,Payment,Draft,REFUND
d50418ea-8ca9-47c0-8a25-4e26b73ff403,2026-04-04 20:18:53,2026-04-04 20:18:53,7000,CUST_9133,6242.02,Invoice,Draft,Invoice - Maintenance
cb5a0362-0867-4454-9016-a11f760fa961,2026-04-05 00:42:05,2026-03-31 00:42:05,5000,VEND_2674,-4064.92,Vendor Credit,Draft,ach TRANSFER
3a33c4d1-585d-4083-a7cf-5f0251e56504,2026-04-05 01:09:05,2026-04-05 01:09:05,2000,VEND_1436,3970.58,Bill,Posted,Bill - Maintenance
1dc98765-74da-4bfc-b425-d117cd29e7f5,2026-04-05 01:15:15,2026-04-05 01:15:15,2000,VEND_6585,-3444.93,Bill,Draft,Bill - Services
c8082217-505a-4d46-96a3-0fb5f1c3f3c7,2026-04-05 01:47:50,2026-04-05 01:47:50,2000,CUST_1244,2506.72,Invoice,Posted,Invoice - Services
762a1257-d9f9-4280-a8c2-dac77879a9df,2026-04-05 03:57:13,2026-04-05 03:57:13,5000,VEND_8625,9475.01,Payment,Draft,Check #1234
